%
%
% Run:01    Table:T1                SWAN version:41.51
%
%       Xp            Yp            Hsig          RTpeak        Botlev        PkDir         Tm01     
%       [m]           [m]           [m]           [sec]         [m]           [degr]        [sec]    
%
      768269.      4932530.       3.54002       10.1181       13.6380       110.000        7.0431 
      768184.      4932523.       3.53785       10.1181       13.6173       110.000        7.0422 
      768098.      4932516.       3.53607       10.1181       13.5912       110.000        7.0420 
      768013.      4932508.       3.53431       10.1181       13.5614       110.000        7.0421 
      767928.      4932501.       3.53231       10.1181       13.5159       110.000        7.0423 
      767843.      4932494.       3.52954       10.1181       13.4663       110.000        7.0417 
      767757.      4932487.       3.52591       10.1181       13.4150       110.000        7.0402 
      767672.      4932480.       3.52145       10.1181       13.3664       110.000        7.0377 
      767587.      4932472.       3.51652       10.1181       13.3163       110.000        7.0347 
      767502.      4932466.       3.51165       10.1181       13.2405       110.000        7.0321 
      767416.      4932458.       3.50745       10.1181       13.1419       110.000        7.0303 
      767331.      4932451.       3.50306       10.1181       13.0922       110.000        7.0276 
      767246.      4932444.       3.49841       10.1181       13.0487       110.000        7.0247 
      767161.      4932436.       3.49348       10.1181       12.9955       110.000        7.0218 
      767075.      4932430.       3.48838       10.1181       12.9283       110.000        7.0190 
      766990.      4932422.       3.48328       10.1181       12.8585       110.000        7.0163 
      766905.      4932415.       3.47800       10.1181       12.8109       110.000        7.0131 
      766820.      4932408.       3.47249       10.1181       12.7590       110.000        7.0098 
      766734.      4932400.       3.46642       10.1181       12.6764       110.000        7.0064 
      766649.      4932394.       3.45906       10.1181       12.5929       110.000        7.0017 
      766564.      4932386.       3.45065       10.1181       12.5070       110.000        6.9958 
      766478.      4932379.       3.44194       10.1181       12.4007       110.000        6.9899 
      766393.      4932372.       3.43375       10.1181       12.2667       110.000        6.9849 
      766308.      4932365.       3.42638       10.1181       12.1416       110.000        6.9805 
      766223.      4932358.       3.41994       10.1181       12.0544       110.000        6.9766 
      766137.      4932350.       3.41492       10.1181       11.9626       110.000        6.9746 
      766052.      4932344.       3.41103       10.1181       11.8685       110.000        6.9744 
      765967.      4932336.       3.40799       10.1181       11.7711       110.000        6.9755 
      765882.      4932329.       3.40544       10.1181       11.6704       110.000        6.9777 
      765796.      4932322.       3.40268       10.1181       11.5811       110.000        6.9798 
      765711.      4932314.       3.39864       10.1181       11.5498       110.000        6.9797 
      765626.      4932308.       3.39345       10.1181       11.5398       110.000        6.9780 
      765540.      4932300.       3.38822       10.1181       11.4757       110.000        6.9771 
      765455.      4932293.       3.38275       10.1181       11.3824       110.000        6.9766 
      765370.      4932286.       3.37790       10.1181       11.2549       110.000        6.9774 
      765285.      4932278.       3.37374       10.1181       11.1239       110.000        6.9792 
      765199.      4932272.       3.36952       10.1181       11.0364       110.000        6.9806 
      765114.      4932264.       3.36450       10.1181       10.9727       110.000        6.9813 
      765029.      4932257.       3.35796       10.1181       10.8990       110.000        6.9814 
      764944.      4932250.       3.34835       10.1181       10.8488       110.000        6.9774 
      764858.      4932242.       3.33552       10.1181       10.7937       110.000        6.9694 
      764773.      4932236.       3.31887       10.1181       10.7392       110.000        6.9566 
      764688.      4932228.       3.29825       10.1181       10.6837       110.000        6.9391 
      764603.      4932221.       3.27429       10.1181       10.6150       110.000        6.9179 
      764517.      4932214.       3.24758       10.1181       10.5383       110.000        6.8935 
      764432.      4932207.       3.22033       10.1181       10.4606       110.000        6.8691 
      764347.      4932200.       3.19272       10.1181       10.3847       110.000        6.8458 
      764262.      4932192.       3.16516       10.1181       10.2680       100.000        6.8247 
      764176.      4932186.       3.13510       10.1181       10.1557       100.000        6.8014 
      764091.      4932178.       3.10114       10.1181       10.0661       100.000        6.7732 
      764006.      4932171.       3.06497       10.1181        9.9653       100.000        6.7412 
      763920.      4932164.       3.03071       10.1181        9.8563       100.000        6.7097 
      763835.      4932156.       3.01371       10.1181        9.5770       100.000        6.7011 
      763750.      4932150.       3.02144       10.1181        9.1159       100.000        6.7269 
      763665.      4932142.       3.04288       10.1181        8.8682       100.000        6.7656 
      763579.      4932135.       3.07207       10.1181        8.7997       100.000        6.8118 
      763494.      4932128.       3.11131       10.1181        8.5804        90.000        6.8806 
      763409.      4932120.       3.16297       10.1181        7.9701        90.000        6.9882 
      763324.      4932114.       3.20537       10.1181        7.6197        90.000        7.1039 
      763238.      4932106.       3.14462       10.1181        5.6953        90.000        7.4191 
      763153.      4932099.       3.09273       10.1181        6.5386        90.000        7.3246 
      763068.      4932092.       3.09340       10.1181        6.9987       100.000        7.2636 
      762983.      4932085.       3.10684       10.1181        6.7422       100.000        7.3061 
      762897.      4932078.       3.09442       10.1181        6.5607       100.000        7.3398 
      762812.      4932070.       3.06220       10.1181        6.7441       100.000        7.3035 
      762727.      4932063.       3.02053       10.1181        6.3546       100.000        7.3452 
      762642.      4932056.       2.92901       10.1181        5.6474       100.000        7.4435 
      762556.      4932049.       2.84261       10.1181        5.6150       100.000        7.3945 
      762471.      4932042.       2.76974       10.1181        5.4143       100.000        7.3682 
      762386.      4932034.       2.69181       10.1181        5.0274       100.000        7.3804 
      762300.      4932028.       2.59687       10.1181        4.7137       100.000        7.3676 
      762215.      4932020.       2.49916       10.1181        4.5181       100.000        7.2979 
      762130.      4932013.       2.40990       10.1181        4.4221       100.000        7.1985 
      762045.      4932006.       2.32698       10.1181        4.1651       100.000        7.1242 
      761959.      4931998.       2.25222       10.1181        4.0758       100.000        7.0120 
      761874.      4931992.       2.18230       10.1181        3.9189       100.000        6.9235 
      761789.      4931984.       2.09526       10.1181        3.5857       100.000        6.8799 
      761704.      4931977.       1.95592       10.1181        3.0477       100.000        6.8451 
      761618.      4931970.       1.73071       10.1181        2.3284       100.000        6.7147 
      761533.      4931962.       1.46115       10.1181        1.8117       100.000        6.2969 
      761448.      4931956.       1.21971       10.1181        1.2820       100.000        5.7609 
      761362.      4931948.       1.15667       10.1181        1.1566       100.000        5.5858 
      761277.      4931941.      -9.00000       -9.0000      -99.0000      -999.000       -9.0000 
      761192.      4931934.      -9.00000       -9.0000      -99.0000      -999.000       -9.0000 
